Employee Number,Job Role,Department,Business Travel,Years At Company,Years In Current Role,Years Since Last Promotion,Years With Curr Manager,Total Working Years,Job Level,Performance Rating,Job Satisfaction,Environment Satisfaction,Work Life Balance,Relationship Satisfaction,Job Involvement,Training Times Last Year,Over Time
32,Manager,R&D,Travel_Rarely,14,13,4,8,26,5,3,3,3,2,4,3,3,No
33,Research Scientist,R&D,Travel_Frequently,10,2,6,7,10,1,4,1,2,3,2,1,5,Yes
35,Sales Executive,Sales,Travel_Rarely,9,7,4,2,10,2,3,2,3,3,4,3,2,No
36,Healthcare Representative,R&D,Travel_Rarely,22,6,5,17,24,3,3,4,1,3,4,2,4,No
38,Manager,Sales,Travel_Rarely,2,2,2,1,22,5,3,1,2,2,4,3,2,No
39,Laboratory Technician,R&D,Travel_Rarely,1,1,0,0,7,1,3,4,3,3,4,3,3,No
40,Healthcare Representative,R&D,Travel_Rarely,4,2,1,3,9,2,3,4,4,4,4,3,5,Yes
41,Laboratory Technician,R&D,Travel_Rarely,10,0,1,8,10,1,3,3,4,3,1,2,5,No
42,Sales Representative,Sales,Travel_Rarely,1,0,0,0,19,2,3,4,4,4,3,3,6,No
45,Research Scientist,R&D,Travel_Rarely,2,0,2,0,6,1,3,4,2,2,1,3,2,Yes
46,Research Scientist,R&D,Travel_Rarely,5,3,1,4,6,1,3,3,4,2,4,4,3,No
47,Sales Representative,Sales,Travel_Rarely,3,2,0,2,3,1,3,3,1,3,3,2,2,Yes
49,Sales Representative,Sales,Travel_Rarely,2,2,2,2,2,1,3,4,4,3,1,3,3,No
51,Research Scientist,R&D,Travel_Rarely,1,1,0,0,6,1,3,1,2,4,4,2,3,Yes
52,Sales Executive,Sales,Travel_Frequently,5,3,1,3,10,2,3,1,3,3,1,4,3,No
53,Laboratory Technician,R&D,Travel_Rarely,1,0,0,0,1,1,3,4,3,3,3,3,3,No
54,Laboratory Technician,R&D,Travel_Rarely,1,0,0,0,1,1,3,1,4,3,4,3,6,No
55,Laboratory Technician,R&D,Travel_Rarely,1,0,0,1,1,1,3,3,1,2,3,1,2,No
56,Sales Executive,Sales,Travel_Frequently,9,8,1,7,9,3,3,3,4,3,4,3,0,No
57,Laboratory Technician,R&D,Travel_Frequently,12,8,3,7,12,2,4,4,3,3,4,3,2,No
58,Research Director,R&D,Travel_Rarely,22,15,15,8,23,5,3,3,2,3,4,3,0,No
60,Sales Executive,Sales,Non-Travel,9,5,8,7,10,2,4,3,2,3,3,3,2,No
61,Research Scientist,R&D,Travel_Rarely,1,0,0,0,8,1,4,2,2,3,1,3,1,No
62,Sales Executive,Sales,Travel_Frequently,9,6,0,8,14,2,4,4,1,3,3,3,4,Yes
63,Laboratory Technician,R&D,Travel_Rarely,1,0,0,1,1,1,3,4,4,3,4,4,2,No
64,Laboratory Technician,R&D,Travel_Rarely,1,0,0,0,23,3,3,3,1,3,4,2,2,Yes
65,Laboratory Technician,R&D,Travel_Rarely,2,2,2,2,2,1,3,3,3,2,3,3,3,Yes
68,Sales Executive,Sales,Travel_Rarely,4,3,1,3,9,2,4,1,2,2,3,3,2,Yes
70,Healthcare Representative,R&D,Non-Travel,4,0,2,3,10,3,3,1,3,3,3,2,3,Yes
72,Sales Executive,Sales,Travel_Rarely,2,2,0,0,5,2,3,4,3,2,3,2,2,Yes
73,Research Director,R&D,Travel_Frequently,15,14,8,12,15,3,3,4,1,3,3,3,1,Yes
74,Sales Executive,Sales,Travel_Frequently,9,8,1,8,9,3,4,1,2,2,4,3,3,No
75,Laboratory Technician,R&D,Travel_Rarely,2,2,2,2,4,1,3,1,3,3,3,3,3,Yes
76,Laboratory Technician,R&D,Travel_Rarely,7,7,1,7,10,2,4,4,4,2,4,3,3,No
77,Manufacturing Director,R&D,Travel_Rarely,7,5,0,7,7,2,3,3,1,4,3,2,2,No
78,Manufacturing Director,R&D,Travel_Rarely,9,8,7,8,9,2,4,4,1,3,2,3,3,Yes
79,Laboratory Technician,R&D,Travel_Frequently,10,3,9,9,10,2,3,4,4,3,4,3,2,No
80,Research Director,R&D,Travel_Rarely,27,3,13,8,29,5,3,3,2,2,4,2,2,Yes
81,Sales Executive,Sales,Travel_Rarely,21,16,7,9,28,3,3,1,1,2,4,3,3,No
83,Healthcare Representative,R&D,Travel_Rarely,17,14,12,8,17,3,3,3,3,3,2,3,2,No
84,Manager,R&D,Travel_Rarely,5,0,0,2,21,4,3,3,4,3,3,3,2,Yes
85,Manufacturing Director,R&D,Travel_Frequently,6,5,0,3,6,2,3,2,2,3,3,2,3,No
86,Research Scientist,R&D,Travel_Rarely,1,0,0,0,25,3,3,1,2,3,3,3,2,No
88,Research Scientist,R&D,Travel_Frequently,3,2,1,2,5,1,3,1,2,2,4,3,2,No
90,Research Scientist,R&D,Travel_Rarely,1,0,0,0,2,1,3,3,4,2,1,2,0,Yes
91,Sales Executive,Sales,Travel_Frequently,4,3,1,3,20,2,3,3,1,2,4,2,2,No
94,Research Scientist,R&D,Travel_Rarely,5,4,0,4,6,1,4,2,3,3,4,3,3,No
95,Research Scientist,R&D,Travel_Rarely,1,1,1,0,1,1,3,2,3,3,2,3,4,No
96,Research Scientist,R&D,Travel_Rarely,10,4,0,9,10,2,3,2,2,3,2,3,3,No
97,Laboratory Technician,R&D,Travel_Rarely,1,0,0,0,5,1,3,4,2,3,2,4,3,No
98,Manufacturing Director,R&D,Travel_Rarely,11,7,1,8,11,2,4,4,3,3,4,3,2,No
100,Sales Executive,Sales,Travel_Rarely,15,13,2,8,16,2,3,1,3,3,2,2,2,No
101,Research Director,R&D,Travel_Rarely,0,0,0,0,17,3,3,1,4,4,2,3,3,Yes
102,Research Director,R&D,Travel_Rarely,5,2,0,2,16,3,3,3,1,4,1,3,3,No
103,Human Resources,HR,Travel_Rarely,4,2,0,2,16,2,4,2,2,3,4,3,2,Yes
104,Laboratory Technician,R&D,Travel_Rarely,10,8,3,0,10,2,3,4,4,2,3,2,1,Yes
105,Research Scientist,R&D,Travel_Rarely,6,4,0,4,6,1,3,3,2,3,1,2,3,No
106,Sales Executive,Sales,Travel_Rarely,1,0,1,0,24,3,3,4,1,3,4,3,4,No
107,Research Scientist,R&D,Non-Travel,13,11,1,9,17,2,3,4,2,3,4,1,3,Yes
110,Manufacturing Director,R&D,Travel_Rarely,5,2,1,3,5,2,3,2,1,3,3,3,2,No
112,Manufacturing Director,R&D,Travel_Rarely,6,4,0,2,37,3,3,4,4,2,1,1,3,No
113,Sales Representative,Sales,Travel_Rarely,0,0,0,0,3,1,3,1,3,3,3,3,3,No
116,Laboratory Technician,R&D,Travel_Rarely,4,2,0,3,10,1,4,4,4,3,2,3,4,No
117,Healthcare Representative,R&D,Travel_Rarely,11,10,10,8,11,2,3,4,3,3,1,2,3,No
118,Sales Executive,Sales,Travel_Rarely,9,8,4,7,9,3,3,4,3,3,4,2,3,No
119,Healthcare Representative,R&D,Travel_Frequently,22,3,11,11,22,4,4,2,3,2,4,2,3,No
120,Sales Executive,Sales,Travel_Rarely,10,7,1,0,11,2,4,4,3,1,4,3,2,Yes
121,Sales Executive,Sales,Travel_Rarely,11,8,2,7,11,2,3,2,3,2,2,2,4,Yes
124,Healthcare Representative,R&D,Travel_Frequently,10,9,9,5,21,3,3,1,3,2,3,2,5,Yes
125,Sales Executive,Sales,Travel_Rarely,11,8,5,7,12,2,3,3,2,3,1,3,0,No
126,Research Director,R&D,Travel_Rarely,4,3,0,3,16,3,3,3,1,1,1,3,5,No
128,Sales Executive,Sales,Travel_Rarely,3,2,0,2,4,2,4,3,1,2,1,3,2,No
129,Sales Executive,Sales,Non-Travel,5,4,0,4,5,2,3,3,2,4,2,3,3,No
131,Sales Executive,Sales,Travel_Rarely,37,10,1,8,38,4,3,3,4,2,3,3,1,No
132,Laboratory Technician,R&D,Non-Travel,3,2,1,2,17,2,3,2,2,4,3,3,3,No
133,Human Resources,HR,Travel_Rarely,3,2,0,2,7,1,4,1,3,3,4,3,3,Yes
134,Research Scientist,R&D,Travel_Rarely,1,0,0,0,1,1,3,1,4,3,4,3,2,No
137,Laboratory Technician,R&D,Travel_Frequently,1,0,1,0,1,1,3,4,4,3,2,2,5,Yes
138,Research Scientist,R&D,Travel_Rarely,16,13,2,10,16,2,3,3,1,3,3,3,3,No
139,Healthcare Representative,R&D,Non-Travel,1,0,0,0,17,2,3,4,3,4,4,2,2,No
140,Manager,HR,Non-Travel,3,2,2,2,30,5,4,4,3,3,4,2,3,No
141,Research Director,R&D,Travel_Frequently,8,3,0,7,28,5,3,2,1,2,1,3,1,Yes
142,Sales Executive,Sales,Travel_Rarely,6,4,0,3,6,2,3,3,3,3,4,2,1,Yes
143,Research Scientist,R&D,Travel_Rarely,2,2,2,1,2,1,3,4,4,3,3,2,2,No
144,Laboratory Technician,R&D,Travel_Rarely,0,0,0,0,1,1,3,4,2,3,3,3,5,No
145,Healthcare Representative,R&D,Travel_Frequently,13,12,12,8,23,3,4,1,1,2,3,2,1,No
147,Laboratory Technician,R&D,Travel_Frequently,9,7,0,6,9,2,4,3,1,3,4,1,3,Yes
148,Manager,HR,Non-Travel,5,3,4,4,23,4,3,4,4,3,3,4,3,Yes
150,Laboratory Technician,R&D,Travel_Rarely,5,3,1,2,6,1,3,3,2,3,3,3,2,No
151,Research Scientist,R&D,Travel_Rarely,1,0,0,0,12,2,3,2,3,3,3,2,3,No
152,Sales Executive,Sales,Travel_Rarely,5,3,1,3,12,3,3,4,3,3,1,3,3,No
153,Manager,R&D,Travel_Rarely,11,10,5,8,14,3,3,1,3,3,4,2,6,No
154,Sales Executive,Sales,Travel_Frequently,9,7,2,8,10,3,3,4,2,3,3,3,6,No
155,Laboratory Technician,R&D,Travel_Rarely,1,0,0,0,7,1,4,4,1,3,1,3,2,No
158,Manager,Sales,Travel_Frequently,25,12,4,12,25,4,3,4,3,4,4,3,3,Yes
159,Research Scientist,R&D,Travel_Frequently,10,7,0,9,10,1,4,3,1,2,3,1,2,No
160,Sales Executive,Sales,Non-Travel,7,7,0,7,8,2,3,2,3,4,1,3,2,No
161,Research Scientist,R&D,Travel_Rarely,5,4,4,3,7,1,3,2,2,3,1,3,2,Yes
162,Research Director,R&D,Travel_Rarely,20,18,15,15,23,5,3,3,1,3,3,3,5,No
163,Sales Executive,Sales,Travel_Rarely,7,7,7,7,12,2,3,3,2,2,2,1,3,Yes
164,Research Scientist,R&D,Travel_Rarely,5,4,4,3,5,1,3,2,3,2,3,2,3,No
165,Healthcare Representative,R&D,Travel_Rarely,40,10,15,6,40,3,3,4,4,2,4,3,3,No
167,Sales Representative,Sales,Travel_Rarely,0,0,0,0,0,1,3,3,4,2,4,3,2,Yes
169,Laboratory Technician,R&D,Travel_Rarely,2,1,2,1,3,1,3,4,3,3,3,3,2,No
170,Manufacturing Director,R&D,Travel_Rarely,15,11,5,11,16,2,3,1,3,2,3,3,2,No
171,Research Scientist,R&D,Travel_Frequently,3,2,1,2,18,1,3,3,2,3,4,4,2,No
174,Sales Executive,Sales,Travel_Frequently,2,2,2,1,16,3,3,4,3,3,4,3,3,No
175,Sales Executive,Sales,Travel_Rarely,2,2,2,2,4,2,3,3,2,3,3,1,2,Yes
176,Sales Executive,Sales,Travel_Rarely,9,7,0,7,12,3,3,3,3,3,3,3,2,Yes
177,Human Resources,HR,Travel_Rarely,8,7,5,7,8,1,4,3,3,3,4,3,3,No
178,Manufacturing Director,R&D,Travel_Rarely,3,2,0,1,7,2,4,2,2,3,4,3,0,No
179,Manufacturing Director,R&D,Travel_Frequently,4,2,0,3,18,3,3,4,1,3,4,1,2,No
182,Sales Executive,Sales,Travel_Rarely,15,11,5,9,17,2,3,3,4,4,3,2,1,No
183,Sales Executive,Sales,Travel_Rarely,2,2,2,2,6,2,3,3,1,3,4,2,3,No
184,Human Resources,HR,Travel_Rarely,11,9,4,7,12,2,3,4,3,1,4,3,2,Yes
190,Laboratory Technician,R&D,Travel_Rarely,5,4,0,4,10,1,4,1,1,4,1,3,2,No
192,Research Scientist,R&D,Travel_Rarely,6,5,0,3,9,1,3,4,3,2,2,3,2,No
193,Research Scientist,R&D,Travel_Rarely,3,2,2,2,19,2,4,3,4,3,2,3,2,Yes
194,Research Scientist,R&D,Travel_Rarely,5,4,0,4,5,1,3,3,1,2,3,3,4,No
195,Sales Executive,Sales,Travel_Frequently,8,7,0,7,9,2,3,4,4,4,4,1,2,No
197,Research Scientist,R&D,Travel_Rarely,3,2,2,2,8,1,3,1,4,3,4,3,3,No
198,Laboratory Technician,R&D,Travel_Rarely,5,3,1,2,6,1,3,4,2,3,4,2,3,No
199,Manager,R&D,Travel_Frequently,7,6,7,7,21,4,3,1,4,2,2,2,2,No
200,Laboratory Technician,R&D,Travel_Rarely,5,0,1,4,7,1,4,1,3,3,4,3,2,No
201,Laboratory Technician,R&D,Travel_Rarely,1,0,0,0,1,1,3,2,2,3,4,3,3,No
202,Research Scientist,R&D,Travel_Frequently,20,7,2,13,20,2,3,2,2,3,1,3,2,No
204,Sales Executive,Sales,Travel_Rarely,10,8,0,6,10,3,3,2,3,3,1,3,3,No
205,Sales Representative,Sales,Travel_Rarely,7,7,4,5,13,2,4,3,2,1,4,3,3,Yes
206,Laboratory Technician,R&D,Travel_Rarely,17,9,0,15,20,2,3,2,2,1,3,3,2,No
207,Sales Executive,Sales,Travel_Frequently,9,8,3,7,9,3,3,4,2,3,4,3,2,No
208,Manufacturing Director,R&D,Non-Travel,10,7,0,9,10,2,3,3,4,3,1,3,1,No
211,Manufacturing Director,R&D,Travel_Rarely,1,0,0,0,10,2,3,3,2,3,3,2,2,No
214,Research Scientist,R&D,Travel_Rarely,1,0,0,0,9,1,4,2,2,2,2,2,3,Yes
215,Sales Executive,Sales,Travel_Rarely,12,11,2,11,15,3,3,4,3,2,1,2,2,No
216,Sales Representative,Sales,Travel_Frequently,4,3,1,2,6,1,3,3,3,3,4,3,3,No
217,Research Scientist,R&D,Travel_Rarely,2,2,2,2,2,1,4,4,3,3,1,3,6,No
218,Research Scientist,R&D,Non-Travel,2,2,2,2,6,1,3,2,4,1,4,3,1,No
221,Research Scientist,R&D,Travel_Rarely,5,2,0,2,5,1,3,4,3,1,3,3,2,No
223,Healthcare Representative,R&D,Travel_Rarely,5,3,1,4,12,3,3,4,3,1,2,4,2,Yes
224,Research Scientist,R&D,Non-Travel,1,1,0,1,1,1,3,3,3,2,4,2,2,Yes
226,Manager,R&D,Travel_Rarely,5,4,4,4,21,5,3,2,3,3,2,3,5,No
227,Research Scientist,R&D,Travel_Rarely,9,8,1,8,13,1,3,3,1,3,1,3,2,No
228,Sales Executive,Sales,Travel_Rarely,10,9,7,4,12,3,3,4,2,3,3,3,2,No
230,Sales Executive,Sales,Travel_Rarely,8,3,0,7,12,2,4,4,1,4,3,2,2,No
231,Research Scientist,R&D,Travel_Rarely,5,4,1,4,8,1,4,3,3,3,1,3,2,No
233,Research Scientist,R&D,Travel_Rarely,5,2,1,1,6,1,3,2,3,2,4,3,3,Yes
235,Sales Representative,Sales,Travel_Frequently,0,0,0,0,1,1,4,1,3,4,1,1,5,No
238,Laboratory Technician,R&D,Travel_Frequently,8,7,7,2,13,1,3,2,4,2,3,3,3,No
239,Laboratory Technician,R&D,Non-Travel,12,9,6,10,12,2,3,1,3,3,3,3,4,No
240,Sales Executive,Sales,Travel_Rarely,5,4,0,3,9,2,3,1,3,4,1,3,3,Yes
241,Research Scientist,R&D,Travel_Rarely,2,2,2,2,19,1,3,1,3,3,3,3,3,Yes
242,Research Scientist,R&D,Travel_Rarely,3,1,0,2,4,1,3,4,3,4,1,3,2,No
243,Laboratory Technician,R&D,Travel_Rarely,1,0,1,0,1,1,4,4,2,2,3,2,3,No
244,Sales Executive,Sales,Travel_Rarely,24,13,15,7,24,3,4,1,2,3,3,3,2,No
245,Laboratory Technician,R&D,Travel_Rarely,2,2,2,1,2,1,3,4,3,3,3,3,3,No
246,Research Scientist,R&D,Travel_Rarely,4,2,0,2,7,1,4,4,3,3,3,3,0,Yes
247,Research Scientist,R&D,Travel_Rarely,3,2,1,2,9,1,3,2,4,3,4,3,3,No
248,Sales Representative,Sales,Travel_Rarely,4,3,0,2,4,1,4,2,2,2,4,3,5,Yes
249,Laboratory Technician,R&D,Travel_Rarely,3,2,0,2,5,1,3,3,3,2,4,2,2,No
250,Manufacturing Director,R&D,Travel_Rarely,4,2,1,3,5,2,3,1,4,3,3,4,3,No
252,Research Scientist,R&D,Travel_Rarely,8,7,1,6,8,1,3,2,4,3,4,3,5,No
253,Manager,R&D,Travel_Rarely,20,8,9,9,21,5,3,3,4,3,2,3,2,No
254,Research Director,R&D,Travel_Rarely,24,15,2,15,36,5,3,2,3,3,4,4,3,No
256,Manufacturing Director,R&D,Travel_Frequently,10,9,1,9,10,2,3,3,4,2,3,2,2,No
258,Healthcare Representative,R&D,Travel_Rarely,7,7,1,0,21,4,3,2,4,3,3,3,6,No
259,Manager,R&D,Travel_Rarely,33,18,11,9,34,5,3,3,3,3,1,2,5,No
260,Research Scientist,R&D,Travel_Rarely,7,7,0,3,7,1,3,2,4,2,4,3,2,No
261,Manufacturing Director,R&D,Travel_Rarely,1,0,0,1,8,2,3,3,2,3,1,2,1,Yes
262,Research Scientist,R&D,Non-Travel,5,4,2,2,7,1,3,4,4,4,4,4,3,No
264,Manager,R&D,Non-Travel,20,8,11,8,22,4,4,4,1,3,4,2,1,No
267,Research Scientist,R&D,Travel_Rarely,8,7,1,7,8,1,3,1,2,2,1,4,3,Yes
269,Laboratory Technician,R&D,Travel_Frequently,6,2,1,2,10,2,3,2,2,3,4,3,5,No
270,Manufacturing Director,R&D,Non-Travel,5,3,0,2,11,2,3,3,3,3,2,3,5,No
271,Manufacturing Director,R&D,Travel_Rarely,1,0,0,0,14,2,3,3,4,3,2,3,3,No
273,Manufacturing Director,R&D,Travel_Rarely,7,7,1,7,9,2,3,4,4,1,1,3,3,No
274,Manufacturing Director,R&D,Travel_Frequently,2,2,2,0,6,2,3,1,3,3,3,2,1,No
275,Manufacturing Director,R&D,Non-Travel,7,7,1,7,7,2,3,4,4,3,1,3,0,Yes
277,Research Scientist,R&D,Travel_Frequently,5,3,2,0,5,1,3,3,4,4,4,3,4,Yes
281,Laboratory Technician,R&D,Travel_Rarely,7,2,3,7,15,2,3,4,3,4,3,3,2,Yes
282,Healthcare Representative,R&D,Travel_Rarely,1,0,0,0,17,2,3,1,2,3,2,3,2,Yes
283,Sales Executive,Sales,Travel_Rarely,10,4,1,9,10,3,4,4,2,2,4,3,3,No
284,Research Scientist,R&D,Travel_Rarely,4,2,2,2,4,1,3,2,4,2,1,4,2,Yes
286,Laboratory Technician,R&D,Travel_Frequently,8,1,1,7,8,1,3,4,2,3,1,3,2,No
287,Healthcare Representative,R&D,Non-Travel,3,2,0,2,5,2,3,4,4,1,4,2,5,No
288,Healthcare Representative,R&D,Travel_Rarely,4,2,0,3,17,3,3,1,4,3,3,3,3,No
291,Sales Executive,Sales,Travel_Rarely,14,8,9,8,14,3,3,4,4,2,3,1,2,No
292,Manufacturing Director,R&D,Non-Travel,11,8,5,8,12,3,4,3,3,3,3,2,2,No
293,Sales Executive,Sales,Travel_Frequently,7,7,0,7,7,2,3,3,4,3,4,3,2,No
296,Research Director,R&D,Travel_Rarely,10,9,4,7,16,3,3,2,2,1,4,2,5,No
297,Research Scientist,R&D,Travel_Rarely,5,2,0,4,8,1,3,1,4,3,3,3,5,Yes
298,Manager,Sales,Travel_Rarely,1,0,0,0,16,3,3,4,4,3,3,3,3,Yes
299,Sales Executive,Sales,Travel_Frequently,6,3,0,1,9,2,3,1,3,2,3,2,5,No
300,Research Scientist,R&D,Travel_Rarely,6,2,1,5,7,1,3,3,3,2,4,3,1,No
302,Sales Executive,Sales,Non-Travel,19,7,12,8,23,3,3,4,4,3,4,2,2,No
303,Sales Executive,Sales,Travel_Rarely,6,2,0,5,16,2,3,1,4,3,4,3,4,No
304,Laboratory Technician,R&D,Travel_Rarely,13,11,3,7,16,2,3,2,4,4,4,3,3,No
305,Research Scientist,R&D,Travel_Rarely,3,2,1,1,7,1,4,2,3,3,4,2,3,No
306,Research Director,R&D,Travel_Frequently,10,8,0,7,10,3,3,4,2,3,3,3,1,Yes
307,Sales Executive,Sales,Travel_Rarely,16,10,5,13,17,3,3,3,1,2,3,3,6,No
308,Manufacturing Director,R&D,Non-Travel,5,4,1,4,6,2,3,3,3,3,4,1,2,No
309,Research Scientist,R&D,Travel_Rarely,1,0,0,0,7,1,3,4,3,3,1,2,6,No
311,Sales Representative,Sales,Travel_Frequently,9,8,5,8,13,1,3,4,1,3,3,3,2,No
312,Sales Executive,Sales,Travel_Frequently,11,10,4,1,11,3,3,4,2,3,4,3,5,No
314,Sales Executive,Sales,Travel_Frequently,10,7,0,8,10,3,3,3,3,4,1,3,3,No
315,Research Scientist,R&D,Travel_Rarely,4,3,0,1,4,1,3,4,3,2,3,2,3,Yes
316,Laboratory Technician,R&D,Travel_Rarely,2,2,2,2,6,1,3,4,3,2,2,2,3,No
319,Manager,R&D,Travel_Rarely,22,17,11,15,22,5,3,4,3,3,4,3,3,No
321,Human Resources,HR,Travel_Rarely,2,2,2,2,7,1,3,3,2,2,4,3,2,No
323,Manager,Sales,Travel_Rarely,7,0,0,6,32,5,3,4,4,2,3,3,3,No
325,Laboratory Technician,R&D,Travel_Rarely,5,4,0,4,8,1,3,4,3,1,3,3,2,Yes
327,Manager,Sales,Travel_Rarely,17,13,1,9,22,4,4,4,4,3,3,3,3,Yes
328,Laboratory Technician,R&D,Travel_Rarely,9,7,1,7,13,1,4,1,1,4,1,3,3,No
329,Manager,Sales,Non-Travel,33,7,15,12,33,5,3,3,1,4,4,2,2,Yes
330,Sales Representative,Sales,Travel_Rarely,4,3,1,2,6,1,3,2,3,3,1,3,5,No
331,Laboratory Technician,R&D,Travel_Rarely,3,2,1,2,4,1,3,3,4,1,4,2,2,Yes
332,Laboratory Technician,R&D,Travel_Rarely,3,2,1,2,7,1,3,3,3,3,3,3,1,No
333,Sales Executive,Sales,Non-Travel,3,2,2,2,4,2,3,4,3,3,1,3,2,No
334,Research Scientist,R&D,Travel_Rarely,1,0,0,0,17,2,3,1,3,2,1,3,2,No
335,Research Scientist,R&D,Travel_Rarely,9,8,4,7,9,2,3,4,1,3,1,3,3,No
336,Manager,R&D,Travel_Rarely,24,0,1,7,25,5,3,4,3,3,3,4,2,No
337,Research Director,R&D,Travel_Frequently,2,2,2,2,9,3,3,3,2,3,1,3,3,No
338,Research Scientist,R&D,Travel_Rarely,2,2,0,2,2,1,3,4,3,2,3,2,2,No
339,Manufacturing Director,R&D,Travel_Rarely,11,9,5,9,13,2,3,1,4,3,2,2,3,No
340,Research Scientist,R&D,Travel_Rarely,3,1,0,2,17,1,3,1,3,2,1,2,2,No
341,Manufacturing Director,R&D,Travel_Frequently,3,2,0,2,9,2,3,3,1,3,4,4,1,No
342,Manufacturing Director,R&D,Travel_Frequently,1,0,0,0,17,3,3,3,1,3,2,3,5,No
343,Healthcare Representative,R&D,Travel_Frequently,19,6,11,8,20,3,4,3,3,3,4,3,1,No
346,Research Scientist,R&D,Travel_Rarely,6,5,1,5,6,1,3,4,3,3,1,3,1,No
347,Research Scientist,R&D,Travel_Rarely,3,2,0,2,10,2,3,1,4,3,3,4,1,Yes
349,Sales Executive,Sales,Travel_Rarely,3,2,0,2,10,2,3,4,4,3,4,3,2,No
350,Manufacturing Director,R&D,Travel_Rarely,4,2,1,2,5,2,3,3,1,3,4,3,3,No
351,Laboratory Technician,R&D,Travel_Rarely,9,6,7,8,10,1,3,1,4,3,3,2,4,Yes
352,Research Director,R&D,Travel_Rarely,21,7,3,9,22,5,3,3,1,3,4,3,5,No
353,Research Scientist,R&D,Travel_Rarely,1,0,0,0,1,1,3,4,3,2,2,3,0,No
355,Laboratory Technician,R&D,Travel_Frequently,5,4,1,4,6,1,3,2,3,4,2,2,2,No
359,Laboratory Technician,R&D,Travel_Frequently,5,1,0,3,5,1,4,2,2,1,3,4,3,No
361,Sales Executive,Sales,Non-Travel,8,7,7,5,13,2,3,4,4,3,4,2,0,No
362,Laboratory Technician,R&D,Travel_Rarely,6,2,0,4,9,2,3,1,4,3,4,2,5,No
363,Manager,Sales,Travel_Rarely,7,7,7,7,28,4,3,2,3,2,2,1,2,Yes
364,Laboratory Technician,R&D,Travel_Rarely,0,0,0,0,5,1,3,3,1,1,3,3,5,No
366,Sales Executive,Sales,Travel_Rarely,0,0,0,0,10,2,3,2,1,3,2,2,2,No
367,Healthcare Representative,R&D,Travel_Rarely,9,0,7,8,10,2,4,4,2,3,2,2,2,No
369,Healthcare Representative,R&D,Non-Travel,6,3,1,5,6,2,3,1,2,3,4,4,2,No
372,Healthcare Representative,R&D,Travel_Rarely,20,7,4,10,21,4,3,4,3,3,2,3,2,Yes
373,Laboratory Technician,R&D,Travel_Rarely,15,13,10,11,16,1,3,4,4,3,3,3,4,No
