Job Role,Employee Number,Years In Current Role,Department,Years At Company,Job Involvement,Business Travel,Monthly Income,Job Level,Total Working Years,Daily Rate,Hourly Rate,Monthly Rate,Percent Salary Hike,Num Companies Worked,Stock Option Level,Standard Hours,Training Times Last Year,Years Since Last Promotion,Years With Curr Manager
Sales Representative,47,2,Sales,3,2,Travel_Rarely,2683,1,3,869,86,3810,14,1,0,80,2,0,2
Sales Representative,49,2,Sales,2,3,Travel_Rarely,2014,1,2,890,97,9687,13,1,0,80,3,2,2
Research Scientist,51,1,R&D,1,2,Travel_Rarely,3419,1,6,852,82,13072,14,9,1,80,3,0,0
Sales Executive,52,3,Sales,5,4,Travel_Frequently,5376,2,10,1141,42,3193,19,2,2,80,3,1,3
Laboratory Technician,53,0,R&D,1,3,Travel_Rarely,1951,1,1,464,75,10910,12,1,1,80,3,0,0
Laboratory Technician,54,0,R&D,1,3,Travel_Rarely,2341,1,1,1240,33,19715,13,1,1,80,6,0,0
Laboratory Technician,55,0,R&D,1,1,Travel_Rarely,2293,1,1,1357,48,10558,12,1,0,80,2,0,1
Sales Executive,56,8,Sales,9,3,Travel_Frequently,8726,3,9,994,37,2975,15,1,0,80,0,1,7
Laboratory Technician,57,8,R&D,12,3,Travel_Frequently,4011,2,12,721,58,10781,23,1,0,80,2,3,7
Research Director,58,15,R&D,22,3,Travel_Rarely,19545,5,23,1360,49,16280,12,1,0,80,0,15,8
Sales Executive,60,5,Sales,9,3,Non-Travel,4568,2,10,1065,72,10034,20,0,0,80,2,8,7
Research Scientist,61,0,R&D,1,3,Travel_Rarely,3022,1,8,408,73,10227,21,4,0,80,1,0,0
Sales Executive,62,6,Sales,9,3,Travel_Frequently,5772,2,14,1211,98,20445,21,4,0,80,4,0,8
Laboratory Technician,63,0,R&D,1,4,Travel_Rarely,2269,1,1,1229,36,4892,19,1,0,80,2,0,1
Laboratory Technician,64,0,R&D,1,2,Travel_Rarely,5381,3,23,626,98,19294,13,9,0,80,2,0,0
Laboratory Technician,65,2,R&D,2,3,Travel_Rarely,3441,1,2,1434,50,11179,13,1,0,80,3,2,2
Sales Executive,68,3,Sales,4,3,Travel_Rarely,5454,2,9,1488,75,4009,21,5,1,80,2,1,3
Healthcare Representative,70,0,R&D,4,2,Non-Travel,9884,3,10,1097,79,8302,13,2,1,80,3,2,3
Sales Executive,72,2,Sales,2,2,Travel_Rarely,4157,2,5,1443,47,21436,19,7,1,80,2,0,0
Research Director,73,14,R&D,15,3,Travel_Frequently,13458,3,15,515,98,15146,12,1,0,80,1,8,12
Sales Executive,74,8,Sales,9,3,Travel_Frequently,9069,3,9,853,71,11031,22,1,1,80,3,1,8
Laboratory Technician,75,2,R&D,2,3,Travel_Rarely,4014,1,4,1142,30,16002,15,3,1,80,3,2,2
Laboratory Technician,76,7,R&D,7,3,Travel_Rarely,5915,2,10,655,48,9528,22,3,1,80,3,1,7
Manufacturing Director,77,5,R&D,7,2,Travel_Rarely,5993,2,7,1115,51,2689,18,1,1,80,2,0,7
Manufacturing Director,78,8,R&D,9,3,Travel_Rarely,6162,2,9,427,33,10877,22,1,1,80,3,7,8
Laboratory Technician,79,3,R&D,10,3,Travel_Frequently,2406,2,10,653,50,5456,11,1,0,80,2,9,9
Research Director,80,3,R&D,27,2,Travel_Rarely,18740,5,29,989,43,16701,12,5,1,80,2,13,8
Sales Executive,81,16,Sales,21,3,Travel_Rarely,7637,3,28,1435,99,2354,11,7,0,80,3,7,9
Healthcare Representative,83,14,R&D,17,3,Travel_Rarely,10096,3,17,1223,59,8202,13,1,3,80,2,12,8
Manager,84,0,R&D,5,3,Travel_Rarely,14756,4,21,836,33,19730,14,2,3,80,2,0,2
Manufacturing Director,85,5,R&D,6,2,Travel_Frequently,6499,2,6,1195,95,22656,13,1,0,80,3,0,3
Research Scientist,86,0,R&D,1,3,Travel_Rarely,9724,3,25,1339,59,18787,17,2,1,80,2,0,0
Research Scientist,88,2,R&D,3,3,Travel_Frequently,2194,1,5,664,79,5868,13,4,1,80,2,1,2
Research Scientist,90,0,R&D,1,2,Travel_Rarely,3388,1,2,318,79,21777,17,0,1,80,0,0,0
Sales Executive,91,3,Sales,4,2,Travel_Frequently,5473,2,20,1225,57,24668,11,7,0,80,2,1,3
Research Scientist,94,4,R&D,5,3,Travel_Rarely,2703,1,6,1328,76,4956,23,0,1,80,3,0,4
Research Scientist,95,1,R&D,1,3,Travel_Rarely,2501,1,1,1082,87,18775,17,1,0,80,4,1,0
Research Scientist,96,4,R&D,10,3,Travel_Rarely,6220,2,10,548,66,7346,17,1,2,80,3,0,9
Laboratory Technician,97,0,R&D,1,4,Travel_Rarely,3038,1,5,132,55,22002,12,3,0,80,3,0,0
Manufacturing Director,98,7,R&D,11,3,Travel_Rarely,4424,2,11,746,61,20682,23,1,0,80,2,1,8
Sales Executive,100,13,Sales,15,2,Travel_Rarely,4312,2,16,776,32,23016,14,0,0,80,2,2,8
Research Director,101,0,R&D,0,3,Travel_Rarely,13245,3,17,193,52,15067,14,4,0,80,3,0,0
Research Director,102,2,R&D,5,3,Travel_Rarely,13664,3,16,397,30,25258,13,4,0,80,3,0,2
Human Resources,103,2,HR,4,3,Travel_Rarely,5021,2,16,945,80,10425,22,8,1,80,2,0,2
Laboratory Technician,104,8,R&D,10,2,Travel_Rarely,5126,2,10,852,55,15998,12,1,2,80,1,3,0
Research Scientist,105,4,R&D,6,2,Travel_Rarely,2859,1,6,1214,30,26278,18,1,0,80,3,0,4
Sales Executive,106,0,Sales,1,3,Travel_Rarely,10239,3,24,111,70,18092,14,3,1,80,4,1,0
Research Scientist,107,11,R&D,13,1,Non-Travel,5329,2,17,573,79,15717,12,7,3,80,3,1,9
Manufacturing Director,110,2,R&D,5,3,Travel_Rarely,4325,2,5,1153,94,17736,15,1,0,80,2,1,3
Manufacturing Director,112,4,R&D,6,1,Travel_Rarely,7260,3,37,1400,49,21698,11,4,0,80,3,0,2
Sales Representative,113,0,Sales,0,3,Travel_Rarely,2322,1,3,541,62,9518,13,3,1,80,3,0,0
Laboratory Technician,116,2,R&D,4,3,Travel_Rarely,2075,1,10,432,96,18725,23,3,2,80,4,0,3
Healthcare Representative,117,10,R&D,11,2,Travel_Rarely,4152,2,11,288,99,15830,19,1,3,80,3,10,8
Sales Executive,118,8,Sales,9,2,Travel_Rarely,9619,3,9,669,64,13596,16,1,0,80,3,4,7
Healthcare Representative,119,3,R&D,22,2,Travel_Frequently,13503,4,22,530,78,14115,22,1,1,80,3,11,11
Sales Executive,120,7,Sales,10,3,Travel_Rarely,5441,2,11,632,71,8423,22,0,0,80,2,1,0
Sales Executive,121,8,Sales,11,2,Travel_Rarely,5209,2,11,1334,63,19760,12,1,3,80,4,2,7
Healthcare Representative,124,9,R&D,10,2,Travel_Frequently,10673,3,21,638,40,3142,13,2,1,80,5,9,5
Sales Executive,125,8,Sales,11,3,Travel_Rarely,5010,2,12,1093,87,24301,16,1,0,80,0,5,7
Research Director,126,3,R&D,4,3,Travel_Rarely,13549,3,16,1217,60,24001,12,9,1,80,5,0,3
Sales Executive,128,2,Sales,3,3,Travel_Rarely,4999,2,4,1353,33,17519,21,0,1,80,2,0,2
Sales Executive,129,4,Sales,5,3,Non-Travel,4221,2,5,120,43,8863,15,1,0,80,3,0,4
Sales Executive,131,10,Sales,37,3,Travel_Rarely,13872,4,38,682,37,24409,13,0,0,80,1,1,8
Laboratory Technician,132,2,R&D,3,3,Non-Travel,2042,2,17,489,67,25043,12,4,1,80,3,1,2
Human Resources,133,2,HR,3,3,Travel_Rarely,2073,1,7,807,63,23648,22,4,0,80,3,0,2
Research Scientist,134,0,R&D,1,3,Travel_Rarely,2956,1,1,827,71,15178,13,1,0,80,2,0,0
Laboratory Technician,137,0,R&D,1,2,Travel_Frequently,2926,1,1,871,66,19783,18,1,0,80,5,1,0
Research Scientist,138,13,R&D,16,3,Travel_Rarely,4809,2,16,665,41,12482,14,1,0,80,3,2,10
Healthcare Representative,139,0,R&D,1,2,Non-Travel,5163,2,17,1040,100,15850,14,5,1,80,2,0,0
Manager,140,2,HR,3,2,Non-Travel,18844,5,30,1420,32,21922,21,9,1,80,3,2,2
Research Director,141,3,R&D,8,3,Travel_Frequently,18172,5,28,1115,73,9755,19,3,0,80,1,0,7
Sales Executive,142,4,Sales,6,2,Travel_Rarely,5744,2,6,240,46,26959,11,1,0,80,1,0,3
Research Scientist,143,2,R&D,2,2,Travel_Rarely,2889,1,2,1280,64,26897,11,1,2,80,2,2,1
Laboratory Technician,144,0,R&D,0,3,Travel_Rarely,2871,1,1,534,59,23785,15,1,0,80,5,0,0
Healthcare Representative,145,12,R&D,13,2,Travel_Frequently,7484,3,23,1456,30,25796,20,3,0,80,1,12,8
Laboratory Technician,147,7,R&D,9,1,Travel_Frequently,6074,2,9,658,66,22887,24,1,0,80,3,0,6
Manager,148,3,HR,5,4,Non-Travel,17328,4,23,142,30,13871,12,2,0,80,3,4,4
Laboratory Technician,150,3,R&D,5,3,Travel_Rarely,2774,1,6,1127,52,13257,12,0,1,80,2,1,2
Research Scientist,151,0,R&D,1,2,Travel_Rarely,4505,2,12,1031,45,15000,15,6,1,80,3,0,0
Sales Executive,152,3,Sales,5,3,Travel_Rarely,7428,3,12,1189,87,14506,12,2,0,80,3,1,3
Manager,153,10,R&D,11,2,Travel_Rarely,11631,3,14,1354,45,5615,12,2,0,80,6,5,8
Sales Executive,154,7,Sales,9,3,Travel_Frequently,9738,3,10,1467,92,22952,14,0,1,80,6,2,8
Laboratory Technician,155,0,R&D,1,3,Travel_Rarely,2835,1,7,922,39,2561,22,5,1,80,2,0,0
Manager,158,12,Sales,25,3,Travel_Frequently,16959,4,25,394,92,19494,12,1,2,80,3,4,12
Research Scientist,159,7,R&D,10,1,Travel_Frequently,2613,1,10,1312,96,22310,25,1,3,80,2,0,9
Sales Executive,160,7,Sales,7,3,Non-Travel,6146,2,8,750,95,15480,13,0,1,80,2,0,7
Research Scientist,161,4,R&D,5,3,Travel_Rarely,4963,1,7,441,72,4510,18,9,3,80,2,4,3
Research Director,162,18,R&D,20,3,Travel_Rarely,19537,5,23,684,51,6462,13,7,0,80,5,15,15
Sales Executive,163,7,Sales,7,1,Travel_Rarely,6172,2,12,249,76,20739,18,4,0,80,3,7,7
Research Scientist,164,4,R&D,5,2,Travel_Rarely,2368,1,5,841,46,23300,19,1,0,80,3,4,3
Healthcare Representative,165,10,R&D,40,3,Travel_Rarely,10312,3,40,147,94,3465,12,1,1,80,3,15,6
Sales Representative,167,0,Sales,0,3,Travel_Rarely,1675,1,0,528,50,26820,19,1,0,80,2,0,0
Laboratory Technician,169,1,R&D,2,3,Travel_Rarely,2523,1,3,594,100,19299,14,0,1,80,2,2,1
Manufacturing Director,170,11,R&D,15,3,Travel_Rarely,6567,2,16,470,96,5549,14,1,0,80,2,5,11
Research Scientist,171,2,R&D,3,4,Travel_Frequently,4739,1,18,957,72,16090,12,4,0,80,2,1,2
Sales Executive,174,2,Sales,2,3,Travel_Frequently,9208,3,16,809,77,6645,11,4,0,80,3,2,1
Sales Executive,175,2,Sales,2,1,Travel_Rarely,4559,2,4,542,71,24788,11,3,1,80,2,2,2
Sales Executive,176,7,Sales,9,3,Travel_Rarely,8189,3,12,802,96,21196,13,3,1,80,2,0,7
Human Resources,177,7,HR,8,3,Travel_Rarely,2942,1,8,1355,61,8916,23,1,1,80,3,5,7
Manufacturing Director,178,2,R&D,3,3,Travel_Rarely,4941,2,7,216,84,2819,20,6,2,80,0,0,1
Manufacturing Director,179,2,R&D,4,1,Travel_Frequently,10650,3,18,1150,53,25150,15,2,0,80,2,0,3
Sales Executive,182,11,Sales,15,2,Travel_Rarely,5902,2,17,1329,47,14590,14,4,1,80,1,5,9
Sales Executive,183,2,Sales,2,2,Travel_Rarely,8639,2,6,959,41,24835,18,2,0,80,3,2,2
Human Resources,184,9,HR,11,3,Travel_Rarely,6347,2,12,1240,48,13982,19,0,0,80,2,4,7
Laboratory Technician,190,4,R&D,5,3,Travel_Rarely,4200,1,10,1033,41,10224,22,7,0,80,2,0,4
Research Scientist,192,5,R&D,6,3,Travel_Rarely,3452,1,9,1316,83,9752,13,5,0,80,2,0,3
Research Scientist,193,2,R&D,3,3,Travel_Rarely,4317,2,19,364,32,2302,20,3,0,80,2,2,2
Research Scientist,194,4,R&D,5,3,Travel_Rarely,2632,1,5,438,75,23910,14,1,0,80,4,0,4
Sales Executive,195,7,Sales,8,1,Travel_Frequently,4668,2,9,689,35,22812,17,0,3,80,2,0,7
Research Scientist,197,2,R&D,3,3,Travel_Rarely,3204,1,8,201,84,10415,14,5,1,80,3,2,2
Laboratory Technician,198,3,R&D,5,2,Travel_Rarely,2720,1,6,1427,35,11162,13,0,0,80,3,1,2
Manager,199,6,R&D,7,2,Travel_Frequently,17181,4,21,857,91,12888,13,4,1,80,2,7,7
Laboratory Technician,200,0,R&D,5,3,Travel_Rarely,2238,1,7,933,94,6961,21,2,1,80,2,1,4
Laboratory Technician,201,0,R&D,1,3,Travel_Rarely,1483,1,1,1181,79,16102,14,1,0,80,3,0,0
Research Scientist,202,7,R&D,20,3,Travel_Frequently,5605,2,20,1395,54,8504,11,1,1,80,2,2,13
Sales Executive,204,8,Sales,10,3,Travel_Rarely,7295,3,10,662,94,11439,13,1,2,80,3,0,6
Sales Representative,205,7,Sales,7,3,Travel_Rarely,2306,2,13,1436,34,16047,20,2,1,80,3,4,5
Laboratory Technician,206,9,R&D,17,3,Travel_Rarely,2348,2,20,194,60,10901,18,8,1,80,2,0,15
Sales Executive,207,8,Sales,9,3,Travel_Frequently,8998,3,9,967,43,15589,14,1,0,80,2,3,7
Manufacturing Director,208,7,R&D,10,3,Non-Travel,4319,2,10,1496,41,26283,13,1,1,80,1,0,9
Manufacturing Director,211,0,R&D,1,2,Travel_Rarely,6132,2,10,1169,34,13983,17,2,0,80,2,0,0
Research Scientist,214,0,R&D,1,2,Travel_Rarely,3346,1,9,1145,75,11873,20,4,1,80,3,0,0
Sales Executive,215,11,Sales,12,2,Travel_Rarely,10855,3,15,630,67,8552,11,7,1,80,2,2,11
Sales Representative,216,3,Sales,4,3,Travel_Frequently,2231,1,6,303,75,11314,18,6,1,80,3,1,2
Research Scientist,217,2,R&D,2,3,Travel_Rarely,2323,1,2,1256,80,11992,24,1,2,80,6,2,2
Research Scientist,218,2,R&D,2,3,Non-Travel,2024,1,6,691,57,5970,18,6,1,80,1,2,2
Research Scientist,221,2,R&D,5,3,Travel_Rarely,2713,1,5,440,42,6672,11,1,1,80,2,0,2
Healthcare Representative,223,3,R&D,5,4,Travel_Rarely,9439,3,12,334,83,23402,16,3,1,80,2,1,4
Research Scientist,224,1,R&D,1,2,Non-Travel,2566,1,1,1450,79,25326,15,1,1,80,2,0,1
Manager,226,4,R&D,5,3,Travel_Rarely,19926,5,21,1452,53,17053,15,3,0,80,5,4,4
Research Scientist,227,8,R&D,9,3,Travel_Rarely,2451,1,13,465,56,4609,12,4,1,80,2,1,8
Sales Executive,228,9,Sales,10,3,Travel_Rarely,9419,3,12,1339,41,8053,12,2,1,80,2,7,4
Sales Executive,230,3,Sales,8,2,Travel_Rarely,8686,2,12,702,59,12930,22,4,0,80,2,0,7
Research Scientist,231,4,R&D,5,3,Travel_Rarely,3038,1,8,120,43,12430,20,3,0,80,2,1,4
Research Scientist,233,2,R&D,5,3,Travel_Rarely,3058,1,6,1157,51,13364,16,0,1,80,3,1,1
Sales Representative,235,0,Sales,0,1,Travel_Frequently,2325,1,1,602,100,20989,21,0,0,80,5,0,0
Laboratory Technician,238,7,R&D,8,3,Travel_Frequently,2088,1,13,1480,30,15062,12,4,0,80,3,7,2
Laboratory Technician,239,9,R&D,12,3,Non-Travel,3072,2,12,111,66,11012,11,1,2,80,4,6,10
Sales Executive,240,4,Sales,5,3,Travel_Rarely,5006,2,9,1268,30,6319,11,4,1,80,3,0,3
Research Scientist,241,2,R&D,2,3,Travel_Rarely,4257,1,19,713,67,13939,18,4,1,80,3,2,2
Research Scientist,242,1,R&D,3,3,Travel_Rarely,2500,1,4,134,90,10515,14,0,0,80,2,0,2
Laboratory Technician,243,0,R&D,1,2,Travel_Rarely,1102,1,1,303,47,9241,22,1,0,80,3,1,0
Sales Executive,244,13,Sales,24,3,Travel_Rarely,10453,3,24,526,92,2137,25,1,3,80,2,15,7
Laboratory Technician,245,2,R&D,2,3,Travel_Rarely,2288,1,2,1380,75,6319,12,1,0,80,3,2,1
Research Scientist,246,2,R&D,4,3,Travel_Rarely,3929,1,7,140,95,6984,23,8,1,80,0,0,2
Research Scientist,247,2,R&D,3,3,Travel_Rarely,2311,1,9,629,95,5711,15,2,0,80,3,1,2
Sales Representative,248,3,Sales,4,3,Travel_Rarely,3140,1,4,1356,70,21728,22,1,0,80,5,0,2
Laboratory Technician,249,2,R&D,3,2,Travel_Rarely,3690,1,5,328,86,3425,15,2,1,80,2,0,2
Manufacturing Director,250,2,R&D,4,4,Travel_Rarely,4450,2,5,1084,57,26250,11,1,2,80,3,1,3
Research Scientist,252,7,R&D,8,3,Travel_Rarely,2756,1,8,931,72,4673,13,1,1,80,5,1,6
Manager,253,8,R&D,20,3,Travel_Rarely,19033,5,21,989,46,6499,14,1,1,80,2,9,9
Research Director,254,15,R&D,24,4,Travel_Rarely,18722,5,36,692,61,13339,11,8,0,80,3,2,15
Manufacturing Director,256,9,R&D,10,2,Travel_Frequently,9547,2,10,1069,45,14074,17,1,0,80,2,1,9
Healthcare Representative,258,7,R&D,7,3,Travel_Rarely,13734,4,21,313,98,7192,18,3,0,80,6,1,0
Manager,259,18,R&D,33,2,Travel_Rarely,19999,5,34,699,65,5678,14,0,1,80,5,11,9
Research Scientist,260,7,R&D,7,3,Travel_Rarely,2279,1,7,894,99,11781,16,1,0,80,2,0,3
Manufacturing Director,261,0,R&D,1,2,Travel_Rarely,5916,2,8,556,50,15497,13,3,0,80,1,0,1
Research Scientist,262,4,R&D,5,4,Non-Travel,2089,1,7,1344,37,5228,14,4,3,80,3,2,2
Manager,264,8,R&D,20,2,Non-Travel,16792,4,22,1195,65,20462,23,9,1,80,1,11,8
Research Scientist,267,7,R&D,8,4,Travel_Rarely,3564,1,8,290,65,22977,12,1,1,80,3,1,7
Laboratory Technician,269,2,R&D,6,3,Travel_Frequently,4425,2,10,138,37,15986,11,5,0,80,5,1,2
Manufacturing Director,270,3,R&D,5,3,Non-Travel,5265,2,11,926,36,16439,16,2,1,80,5,0,2
Manufacturing Director,271,0,R&D,1,3,Travel_Rarely,6553,2,14,1261,88,7259,14,9,0,80,3,0,0
Manufacturing Director,273,7,R&D,7,3,Travel_Rarely,6261,2,9,1084,54,4185,18,3,1,80,3,1,7
Manufacturing Director,274,2,R&D,2,2,Travel_Frequently,4298,2,6,472,60,9679,19,5,1,80,1,2,0
Manufacturing Director,275,7,R&D,7,3,Non-Travel,6804,2,7,1002,92,23793,15,1,2,80,0,1,7
Research Scientist,277,3,R&D,5,3,Travel_Frequently,3815,1,5,878,43,5972,17,1,1,80,4,2,0
Laboratory Technician,281,2,R&D,7,3,Travel_Rarely,2741,2,15,905,99,16523,15,8,1,80,2,3,7
Healthcare Representative,282,0,R&D,1,3,Travel_Rarely,6673,2,17,1180,70,11354,19,7,0,80,2,0,0
Sales Executive,283,4,Sales,10,3,Travel_Rarely,7639,3,10,121,35,24525,22,1,3,80,3,1,9
Research Scientist,284,2,R&D,4,4,Travel_Rarely,2328,1,4,1136,60,12392,16,1,1,80,2,2,2
Laboratory Technician,286,1,R&D,8,3,Travel_Frequently,2153,1,8,635,73,7703,13,1,0,80,2,1,7
Healthcare Representative,287,2,R&D,3,2,Non-Travel,4876,2,5,1151,63,14242,14,9,1,80,5,0,2
Healthcare Representative,288,2,R&D,4,3,Travel_Rarely,9396,3,17,644,97,12368,16,7,1,80,3,0,3
Sales Executive,291,8,Sales,14,1,Travel_Rarely,10400,3,14,1045,32,25812,11,1,0,80,2,9,8
Manufacturing Director,292,8,R&D,11,2,Non-Travel,8474,3,12,829,88,20925,22,1,0,80,2,5,8
Sales Executive,293,7,Sales,7,3,Travel_Frequently,9981,2,7,1242,90,12916,14,1,0,80,2,0,7
Research Director,296,9,R&D,10,2,Travel_Rarely,12490,3,16,1469,81,15736,16,5,2,80,5,4,7
Research Scientist,297,2,R&D,5,3,Travel_Rarely,2657,1,8,1005,88,8556,11,5,0,80,5,0,4
Manager,298,0,Sales,1,3,Travel_Rarely,13591,3,16,896,75,14674,18,3,0,80,3,0,0
Sales Executive,299,3,Sales,6,2,Travel_Frequently,6696,2,9,334,52,22967,15,5,0,80,5,0,1
Research Scientist,300,2,R&D,6,3,Travel_Rarely,2058,1,7,992,85,19757,14,0,0,80,1,1,5
Sales Executive,302,7,Sales,19,2,Non-Travel,8865,3,23,1052,57,16840,12,6,0,80,2,12,8
Sales Executive,303,2,Sales,6,3,Travel_Rarely,5940,2,16,1147,52,17011,14,2,1,80,4,0,5
Laboratory Technician,304,11,R&D,13,3,Travel_Rarely,5914,2,16,1396,62,9945,16,8,0,80,3,3,7
Research Scientist,305,2,R&D,3,2,Travel_Rarely,2622,1,7,147,47,13248,21,6,0,80,3,1,1
Research Director,306,8,R&D,10,3,Travel_Frequently,12185,3,10,663,47,10056,14,1,3,80,1,0,7
Sales Executive,307,10,Sales,16,3,Travel_Rarely,10609,3,17,119,76,9647,12,0,2,80,6,5,13
Manufacturing Director,308,4,R&D,5,1,Non-Travel,4345,2,6,979,90,4381,12,0,1,80,2,1,4
Research Scientist,309,0,R&D,1,2,Travel_Rarely,2177,1,7,142,70,8456,17,3,1,80,6,0,0
Sales Representative,311,8,Sales,9,3,Travel_Frequently,2793,1,13,319,41,2539,17,4,1,80,2,5,8
Sales Executive,312,10,Sales,11,3,Travel_Frequently,7918,3,11,1413,42,6599,14,1,1,80,5,4,1
Sales Executive,314,7,Sales,10,3,Travel_Frequently,8789,3,10,944,92,9096,14,1,0,80,3,0,8
Research Scientist,315,3,R&D,4,2,Travel_Rarely,2389,1,4,896,86,14961,13,1,0,80,3,0,1
Laboratory Technician,316,2,R&D,2,2,Travel_Rarely,3212,1,6,1323,89,3300,15,7,0,80,3,2,2
Manager,319,17,R&D,22,3,Travel_Rarely,19232,5,22,532,58,4933,11,1,0,80,3,11,15
Human Resources,321,2,HR,2,3,Travel_Rarely,2267,1,7,818,52,25657,17,8,0,80,2,2,2
Manager,323,0,Sales,7,3,Travel_Rarely,19517,5,32,854,68,24118,11,3,1,80,3,0,6
Laboratory Technician,325,4,R&D,5,3,Travel_Rarely,2436,1,8,813,58,22149,13,5,1,80,2,0,4
Manager,327,13,Sales,17,3,Travel_Rarely,16064,4,22,1034,80,7744,22,5,1,80,3,1,9
Laboratory Technician,328,7,R&D,9,3,Travel_Rarely,2707,1,13,465,39,21509,20,7,0,80,3,1,7
Manager,329,7,Sales,33,2,Non-Travel,19068,5,33,771,79,21030,18,1,0,80,2,15,12
Sales Representative,330,3,Sales,4,3,Travel_Rarely,3931,1,6,1401,56,20990,11,2,1,80,5,1,2
Laboratory Technician,331,2,R&D,3,2,Travel_Rarely,3730,1,4,515,62,9571,14,0,0,80,2,1,2
Laboratory Technician,332,2,R&D,3,3,Travel_Rarely,2232,1,7,1431,96,15417,14,7,3,80,1,1,2
Sales Executive,333,2,Sales,3,3,Non-Travel,4465,2,4,976,100,12069,18,0,0,80,2,2,2
