Marital Status,Distance From Home,Employee Number,Age,Education Field,Gender,Education,CF_age band,CF_current Employee,Over18,emp no
Divorced,1,68,44,Marketing,Female,Doctoral Degree,35 - 44,1,Y,STAFF-68
Married,11,70,35,Medical,Male,Associates Degree,35 - 44,1,Y,STAFF-70
Married,23,72,26,Marketing,Female,Bachelor's Degree,25 - 34,1,Y,STAFF-72
Single,1,73,33,Life Sciences,Female,Associates Degree,25 - 34,1,Y,STAFF-73
Married,18,74,35,Life Sciences,Male,Doctoral Degree,35 - 44,1,Y,STAFF-74
Married,23,75,35,Medical,Female,Master's Degree,35 - 44,1,Y,STAFF-75
Divorced,7,76,31,Life Sciences,Male,Master's Degree,25 - 34,1,Y,STAFF-76
Divorced,1,77,37,Life Sciences,Male,Master's Degree,35 - 44,1,Y,STAFF-77
Married,1,78,32,Medical,Male,Bachelor's Degree,25 - 34,1,Y,STAFF-78
Single,29,79,38,Life Sciences,Female,Doctoral Degree,35 - 44,1,Y,STAFF-79
Divorced,7,80,50,Medical,Female,Associates Degree,45 - 54,1,Y,STAFF-80
Single,25,81,59,Life Sciences,Female,Bachelor's Degree,Over 55,1,Y,STAFF-81
Divorced,8,83,36,Technical Degree,Female,Bachelor's Degree,35 - 44,1,Y,STAFF-83
Divorced,8,84,55,Medical,Female,Bachelor's Degree,Over 55,1,Y,STAFF-84
Single,11,85,36,Life Sciences,Male,Bachelor's Degree,35 - 44,1,Y,STAFF-85
Divorced,7,86,45,Life Sciences,Male,Bachelor's Degree,45 - 54,1,Y,STAFF-86
Married,1,88,35,Medical,Male,Bachelor's Degree,35 - 44,1,Y,STAFF-88
Married,9,90,36,Medical,Male,Bachelor's Degree,35 - 44,0,Y,STAFF-90
Single,1,91,59,Life Sciences,Female,High School,Over 55,1,Y,STAFF-91
Married,2,94,29,Life Sciences,Male,Bachelor's Degree,25 - 34,1,Y,STAFF-94
Single,1,95,31,Medical,Male,Master's Degree,25 - 34,1,Y,STAFF-95
Married,1,96,32,Life Sciences,Male,Bachelor's Degree,25 - 34,1,Y,STAFF-96
Married,6,97,36,Life Sciences,Female,Bachelor's Degree,35 - 44,1,Y,STAFF-97
Single,8,98,31,Life Sciences,Female,Master's Degree,25 - 34,1,Y,STAFF-98
Single,1,100,35,Marketing,Male,Master's Degree,35 - 44,1,Y,STAFF-100
Married,6,101,45,Other,Male,Master's Degree,45 - 54,1,Y,STAFF-101
Single,7,102,37,Medical,Male,Master's Degree,35 - 44,1,Y,STAFF-102
Divorced,5,103,46,Medical,Male,Associates Degree,45 - 54,1,Y,STAFF-103
Married,1,104,30,Life Sciences,Male,High School,25 - 34,1,Y,STAFF-104
Single,1,105,35,Medical,Male,Bachelor's Degree,35 - 44,1,Y,STAFF-105
Married,1,106,55,Life Sciences,Male,Associates Degree,Over 55,1,Y,STAFF-106
Divorced,6,107,38,Medical,Female,Bachelor's Degree,35 - 44,1,Y,STAFF-107
Married,1,110,34,Medical,Male,Associates Degree,25 - 34,1,Y,STAFF-110
Single,7,112,56,Life Sciences,Male,Bachelor's Degree,Over 55,1,Y,STAFF-112
Divorced,2,113,23,Technical Degree,Male,High School,Under 25,1,Y,STAFF-113
Married,9,116,51,Life Sciences,Male,Master's Degree,45 - 54,1,Y,STAFF-116
Married,2,117,30,Life Sciences,Male,Bachelor's Degree,25 - 34,1,Y,STAFF-117
Single,9,118,46,Medical,Male,Associates Degree,45 - 54,0,Y,STAFF-118
Married,1,119,40,Life Sciences,Male,Master's Degree,35 - 44,1,Y,STAFF-119
Single,21,120,51,Marketing,Male,Master's Degree,45 - 54,1,Y,STAFF-120
Divorced,4,121,30,Medical,Female,Associates Degree,25 - 34,1,Y,STAFF-121
Married,1,124,46,Medical,Male,Bachelor's Degree,45 - 54,1,Y,STAFF-124
Single,6,125,32,Medical,Male,Master's Degree,25 - 34,1,Y,STAFF-125
Married,2,126,54,Technical Degree,Female,Master's Degree,45 - 54,1,Y,STAFF-126
Married,3,128,24,Other,Female,Associates Degree,Under 25,1,Y,STAFF-128
Married,4,129,28,Medical,Male,Bachelor's Degree,25 - 34,1,Y,STAFF-129
Single,10,131,58,Medical,Male,Master's Degree,Over 55,1,Y,STAFF-131
Married,23,132,44,Medical,Male,Bachelor's Degree,35 - 44,1,Y,STAFF-132
Divorced,6,133,37,Human Resources,Male,Master's Degree,35 - 44,0,Y,STAFF-133
Single,1,134,32,Life Sciences,Male,High School,25 - 34,1,Y,STAFF-134
Single,6,137,20,Life Sciences,Female,Bachelor's Degree,Under 25,0,Y,STAFF-137
Single,6,138,34,Other,Female,Master's Degree,25 - 34,1,Y,STAFF-138
Divorced,2,139,37,Life Sciences,Male,Associates Degree,35 - 44,1,Y,STAFF-139
Married,2,140,59,Human Resources,Female,Master's Degree,Over 55,1,Y,STAFF-140
Married,1,141,50,Life Sciences,Female,Bachelor's Degree,45 - 54,1,Y,STAFF-141
Single,5,142,25,Marketing,Male,Bachelor's Degree,25 - 34,0,Y,STAFF-142
Married,7,143,25,Medical,Male,High School,25 - 34,1,Y,STAFF-143
Single,15,144,22,Medical,Female,Bachelor's Degree,Under 25,1,Y,STAFF-144
Single,1,145,51,Medical,Female,Master's Degree,45 - 54,1,Y,STAFF-145
Single,7,147,34,Life Sciences,Male,Bachelor's Degree,25 - 34,0,Y,STAFF-147
Single,26,148,54,Human Resources,Female,Bachelor's Degree,45 - 54,1,Y,STAFF-148
Married,18,150,24,Life Sciences,Male,High School,Under 25,1,Y,STAFF-150
Divorced,6,151,34,Life Sciences,Female,Master's Degree,25 - 34,1,Y,STAFF-151
Single,3,152,37,Life Sciences,Male,Bachelor's Degree,35 - 44,1,Y,STAFF-152
Single,5,153,34,Medical,Female,Bachelor's Degree,25 - 34,1,Y,STAFF-153
Married,11,154,36,Technical Degree,Female,Associates Degree,35 - 44,1,Y,STAFF-154
Divorced,3,155,36,Life Sciences,Female,Associates Degree,35 - 44,1,Y,STAFF-155
Married,26,158,43,Life Sciences,Male,Associates Degree,35 - 44,1,Y,STAFF-158
Divorced,23,159,30,Life Sciences,Male,Bachelor's Degree,25 - 34,1,Y,STAFF-159
Married,22,160,33,Marketing,Male,Associates Degree,25 - 34,1,Y,STAFF-160
Married,14,161,56,Life Sciences,Female,Master's Degree,Over 55,0,Y,STAFF-161
Single,6,162,51,Life Sciences,Male,Bachelor's Degree,45 - 54,1,Y,STAFF-162
Married,6,163,31,Life Sciences,Male,Master's Degree,25 - 34,0,Y,STAFF-163
Married,6,164,26,Other,Female,Bachelor's Degree,25 - 34,1,Y,STAFF-164
Married,23,165,58,Medical,Female,Master's Degree,Over 55,0,Y,STAFF-165
Single,22,167,19,Marketing,Male,High School,Under 25,0,Y,STAFF-167
Married,2,169,22,Technical Degree,Male,High School,Under 25,1,Y,STAFF-169
Married,20,170,49,Medical,Female,Master's Degree,45 - 54,1,Y,STAFF-170
Single,28,171,43,Medical,Female,Bachelor's Degree,35 - 44,1,Y,STAFF-171
Single,12,174,50,Marketing,Female,Bachelor's Degree,45 - 54,1,Y,STAFF-174
Married,20,175,31,Life Sciences,Female,Bachelor's Degree,25 - 34,0,Y,STAFF-175
Divorced,9,176,41,Life Sciences,Male,High School,35 - 44,1,Y,STAFF-176
Married,25,177,26,Life Sciences,Female,High School,25 - 34,1,Y,STAFF-177
Divorced,6,178,36,Medical,Male,Associates Degree,35 - 44,1,Y,STAFF-178
Single,8,179,51,Life Sciences,Male,Master's Degree,45 - 54,0,Y,STAFF-179
Married,4,182,39,Life Sciences,Female,Master's Degree,35 - 44,1,Y,STAFF-182
Married,28,183,25,Life Sciences,Male,Bachelor's Degree,25 - 34,1,Y,STAFF-183
Married,9,184,30,Human Resources,Male,Bachelor's Degree,25 - 34,1,Y,STAFF-184
Single,9,190,32,Medical,Female,Bachelor's Degree,25 - 34,0,Y,STAFF-190
Single,29,192,45,Medical,Male,Bachelor's Degree,45 - 54,1,Y,STAFF-192
Single,3,193,38,Technical Degree,Female,Doctoral Degree,35 - 44,1,Y,STAFF-193
Single,18,194,30,Life Sciences,Female,Bachelor's Degree,25 - 34,1,Y,STAFF-194
Divorced,9,195,32,Medical,Male,Associates Degree,25 - 34,1,Y,STAFF-195
Divorced,5,197,30,Technical Degree,Female,Bachelor's Degree,25 - 34,1,Y,STAFF-197
Single,2,198,30,Medical,Male,High School,25 - 34,1,Y,STAFF-198
Divorced,10,199,41,Life Sciences,Male,Bachelor's Degree,35 - 44,1,Y,STAFF-199
Married,9,200,41,Life Sciences,Male,Master's Degree,35 - 44,1,Y,STAFF-200
Single,3,201,19,Medical,Female,High School,Under 25,1,Y,STAFF-201
Divorced,26,202,40,Medical,Female,Bachelor's Degree,35 - 44,1,Y,STAFF-202
Married,1,204,35,Marketing,Male,Doctoral Degree,35 - 44,1,Y,STAFF-204
Married,6,205,53,Marketing,Male,Associates Degree,45 - 54,1,Y,STAFF-205
Divorced,9,206,45,Life Sciences,Male,Bachelor's Degree,45 - 54,1,Y,STAFF-206
Single,8,207,32,Marketing,Female,Bachelor's Degree,25 - 34,1,Y,STAFF-207
Married,1,208,29,Technical Degree,Male,High School,25 - 34,1,Y,STAFF-208
Married,7,211,51,Medical,Male,Master's Degree,45 - 54,1,Y,STAFF-211
Married,9,214,58,Medical,Female,Bachelor's Degree,Over 55,1,Y,STAFF-214
Married,4,215,40,Marketing,Male,Master's Degree,35 - 44,1,Y,STAFF-215
Married,2,216,34,Marketing,Female,Master's Degree,25 - 34,1,Y,STAFF-216
Married,19,217,22,Medical,Male,High School,Under 25,1,Y,STAFF-217
Divorced,9,218,27,Medical,Male,Bachelor's Degree,25 - 34,1,Y,STAFF-218
Married,21,221,28,Medical,Male,Bachelor's Degree,25 - 34,1,Y,STAFF-221
Divorced,24,223,57,Life Sciences,Male,Associates Degree,Over 55,1,Y,STAFF-223
Divorced,3,224,27,Medical,Male,Bachelor's Degree,25 - 34,1,Y,STAFF-224
Single,11,226,50,Life Sciences,Female,Bachelor's Degree,45 - 54,1,Y,STAFF-226
Divorced,14,227,41,Life Sciences,Male,Bachelor's Degree,35 - 44,1,Y,STAFF-227
Married,5,228,30,Life Sciences,Female,Bachelor's Degree,25 - 34,1,Y,STAFF-228
Single,1,230,38,Life Sciences,Female,Master's Degree,35 - 44,1,Y,STAFF-230
Single,6,231,32,Life Sciences,Male,Doctoral Degree,25 - 34,1,Y,STAFF-231
Married,17,233,27,Technical Degree,Male,Bachelor's Degree,25 - 34,1,Y,STAFF-233
Single,1,235,19,Technical Degree,Female,High School,Under 25,0,Y,STAFF-235
Single,3,238,36,Medical,Male,Associates Degree,35 - 44,1,Y,STAFF-238
Divorced,9,239,30,Medical,Male,Bachelor's Degree,25 - 34,1,Y,STAFF-239
Divorced,4,240,45,Life Sciences,Female,Associates Degree,45 - 54,1,Y,STAFF-240
Divorced,8,241,56,Life Sciences,Female,Bachelor's Degree,Over 55,1,Y,STAFF-241
Single,2,242,33,Life Sciences,Male,Bachelor's Degree,25 - 34,1,Y,STAFF-242
Single,2,243,19,Life Sciences,Male,Bachelor's Degree,Under 25,0,Y,STAFF-243
Divorced,1,244,46,Marketing,Female,Associates Degree,45 - 54,1,Y,STAFF-244
Single,9,245,38,Life Sciences,Female,Associates Degree,35 - 44,1,Y,STAFF-245
Married,12,246,31,Medical,Female,High School,25 - 34,1,Y,STAFF-246
Single,27,247,34,Medical,Female,Associates Degree,25 - 34,1,Y,STAFF-247
Single,20,248,41,Marketing,Female,Associates Degree,35 - 44,0,Y,STAFF-248
Married,1,249,50,Medical,Male,Bachelor's Degree,45 - 54,1,Y,STAFF-249
Divorced,13,250,53,Medical,Female,Associates Degree,45 - 54,1,Y,STAFF-250
Married,14,252,33,Medical,Female,Bachelor's Degree,25 - 34,1,Y,STAFF-252
Married,4,253,40,Medical,Female,High School,35 - 44,1,Y,STAFF-253
Single,14,254,55,Medical,Male,Master's Degree,Over 55,1,Y,STAFF-254
Married,2,256,34,Life Sciences,Male,High School,25 - 34,1,Y,STAFF-256
Single,3,258,51,Medical,Female,Bachelor's Degree,45 - 54,1,Y,STAFF-258
Married,1,259,52,Life Sciences,Male,Master's Degree,45 - 54,1,Y,STAFF-259
Single,9,260,27,Medical,Female,Bachelor's Degree,25 - 34,1,Y,STAFF-260
Married,23,261,35,Life Sciences,Male,Associates Degree,35 - 44,0,Y,STAFF-261
Divorced,7,262,43,Medical,Male,Bachelor's Degree,35 - 44,1,Y,STAFF-262
Married,2,264,45,Medical,Male,Associates Degree,45 - 54,1,Y,STAFF-264
Married,21,267,37,Life Sciences,Male,Bachelor's Degree,35 - 44,1,Y,STAFF-267
Single,2,269,35,Medical,Female,Bachelor's Degree,35 - 44,1,Y,STAFF-269
Divorced,21,270,42,Medical,Female,Associates Degree,35 - 44,1,Y,STAFF-270
Married,2,271,38,Life Sciences,Male,Master's Degree,35 - 44,1,Y,STAFF-271
Married,29,273,38,Technical Degree,Male,Bachelor's Degree,35 - 44,1,Y,STAFF-273
Married,1,274,27,Technical Degree,Male,High School,25 - 34,1,Y,STAFF-274
Divorced,18,275,49,Life Sciences,Male,Master's Degree,45 - 54,1,Y,STAFF-275
Divorced,10,277,34,Medical,Male,Master's Degree,25 - 34,1,Y,STAFF-277
Married,19,281,40,Medical,Male,Associates Degree,35 - 44,1,Y,STAFF-281
Married,29,282,38,Medical,Male,High School,35 - 44,0,Y,STAFF-282
Married,27,283,29,Marketing,Female,Bachelor's Degree,25 - 34,0,Y,STAFF-283
Divorced,5,284,22,Life Sciences,Male,Bachelor's Degree,Under 25,1,Y,STAFF-284
Single,18,286,36,Medical,Female,High School,35 - 44,1,Y,STAFF-286
Married,9,287,40,Life Sciences,Male,Doctoral Degree,35 - 44,1,Y,STAFF-287
Divorced,1,288,46,Medical,Male,Master's Degree,45 - 54,1,Y,STAFF-288
Married,4,291,32,Medical,Male,Master's Degree,25 - 34,0,Y,STAFF-291
Single,1,292,30,Life Sciences,Male,High School,25 - 34,1,Y,STAFF-292
Single,20,293,27,Life Sciences,Female,Bachelor's Degree,25 - 34,1,Y,STAFF-293
Married,8,296,51,Life Sciences,Male,Master's Degree,45 - 54,1,Y,STAFF-296
Single,3,297,30,Technical Degree,Female,Bachelor's Degree,25 - 34,0,Y,STAFF-297
Single,6,298,41,Life Sciences,Female,Bachelor's Degree,35 - 44,1,Y,STAFF-298
Single,26,299,30,Marketing,Female,Master's Degree,25 - 34,0,Y,STAFF-299
Single,1,300,29,Technical Degree,Male,Bachelor's Degree,25 - 34,0,Y,STAFF-300
Single,6,302,45,Medical,Female,Bachelor's Degree,45 - 54,1,Y,STAFF-302
Married,3,303,54,Marketing,Female,Bachelor's Degree,45 - 54,1,Y,STAFF-303
Single,5,304,36,Life Sciences,Male,Associates Degree,35 - 44,1,Y,STAFF-304
Married,4,305,33,Medical,Female,Master's Degree,25 - 34,1,Y,STAFF-305
Divorced,11,306,37,Other,Male,Bachelor's Degree,35 - 44,1,Y,STAFF-306
Divorced,3,307,38,Life Sciences,Male,Bachelor's Degree,35 - 44,1,Y,STAFF-307
Married,1,308,31,Medical,Male,Master's Degree,25 - 34,1,Y,STAFF-308
Married,3,309,59,Life Sciences,Male,Bachelor's Degree,Over 55,1,Y,STAFF-309
Divorced,4,311,37,Marketing,Male,Master's Degree,35 - 44,1,Y,STAFF-311
Married,1,312,29,Medical,Female,High School,25 - 34,1,Y,STAFF-312
Single,1,314,35,Marketing,Female,Bachelor's Degree,35 - 44,1,Y,STAFF-314
Single,18,315,29,Medical,Male,High School,25 - 34,0,Y,STAFF-315
Single,2,316,52,Life Sciences,Female,Bachelor's Degree,45 - 54,1,Y,STAFF-316
Married,4,319,42,Technical Degree,Male,Associates Degree,35 - 44,1,Y,STAFF-319
Married,6,321,59,Medical,Male,Associates Degree,Over 55,1,Y,STAFF-321
Divorced,1,323,50,Medical,Female,Master's Degree,45 - 54,1,Y,STAFF-323
Married,14,325,33,Medical,Male,Bachelor's Degree,25 - 34,0,Y,STAFF-325
Married,16,327,43,Marketing,Female,Bachelor's Degree,35 - 44,1,Y,STAFF-327
Married,2,328,33,Life Sciences,Female,Associates Degree,25 - 34,0,Y,STAFF-328
Single,2,329,52,Life Sciences,Male,Master's Degree,45 - 54,1,Y,STAFF-329
Married,4,330,32,Life Sciences,Female,Associates Degree,25 - 34,1,Y,STAFF-330
Single,1,331,32,Life Sciences,Male,Bachelor's Degree,25 - 34,0,Y,STAFF-331
Divorced,1,332,39,Medical,Female,Master's Degree,35 - 44,1,Y,STAFF-332
Married,26,333,32,Marketing,Male,Master's Degree,25 - 34,1,Y,STAFF-333
Divorced,19,334,41,Life Sciences,Male,Associates Degree,35 - 44,1,Y,STAFF-334
Divorced,24,335,40,Technical Degree,Male,Associates Degree,35 - 44,1,Y,STAFF-335
Married,1,336,45,Other,Male,Bachelor's Degree,45 - 54,1,Y,STAFF-336
Divorced,3,337,31,Medical,Male,Master's Degree,25 - 34,1,Y,STAFF-337
Married,5,338,33,Life Sciences,Female,Master's Degree,25 - 34,1,Y,STAFF-338
Married,2,339,34,Life Sciences,Male,Master's Degree,25 - 34,1,Y,STAFF-339
Married,1,340,37,Medical,Female,Associates Degree,35 - 44,1,Y,STAFF-340
Married,7,341,45,Life Sciences,Male,Master's Degree,45 - 54,1,Y,STAFF-341
Divorced,10,342,37,Medical,Male,Bachelor's Degree,35 - 44,0,Y,STAFF-342
Single,2,343,39,Technical Degree,Female,Master's Degree,35 - 44,1,Y,STAFF-343
Single,15,346,29,Life Sciences,Male,Bachelor's Degree,25 - 34,1,Y,STAFF-346
Single,17,347,42,Life Sciences,Female,Associates Degree,35 - 44,1,Y,STAFF-347
Divorced,20,349,29,Marketing,Male,Associates Degree,25 - 34,1,Y,STAFF-349
Married,1,350,25,Life Sciences,Female,Bachelor's Degree,25 - 34,1,Y,STAFF-350
Divorced,2,351,42,Medical,Female,Bachelor's Degree,35 - 44,1,Y,STAFF-351
Divorced,2,352,40,Medical,Male,Associates Degree,35 - 44,1,Y,STAFF-352
Married,1,353,51,Life Sciences,Male,Bachelor's Degree,45 - 54,1,Y,STAFF-353
Single,29,355,31,Medical,Male,Associates Degree,25 - 34,0,Y,STAFF-355
Married,7,359,32,Life Sciences,Male,Bachelor's Degree,25 - 34,1,Y,STAFF-359
Married,2,361,38,Life Sciences,Male,Associates Degree,35 - 44,1,Y,STAFF-361
Single,2,362,32,Technical Degree,Male,High School,25 - 34,1,Y,STAFF-362
Married,2,363,46,Technical Degree,Female,Bachelor's Degree,45 - 54,1,Y,STAFF-363
Single,2,364,28,Life Sciences,Male,Master's Degree,25 - 34,0,Y,STAFF-364
Married,2,366,29,Medical,Male,Bachelor's Degree,25 - 34,1,Y,STAFF-366
Married,23,367,31,Medical,Male,Bachelor's Degree,25 - 34,1,Y,STAFF-367
Divorced,5,369,25,Life Sciences,Male,Associates Degree,25 - 34,1,Y,STAFF-369
Married,20,372,45,Medical,Male,Associates Degree,45 - 54,1,Y,STAFF-372
Married,6,373,36,Life Sciences,Male,Bachelor's Degree,35 - 44,1,Y,STAFF-373
Single,1,374,55,Medical,Male,Bachelor's Degree,Over 55,1,Y,STAFF-374
Married,29,376,47,Life Sciences,Male,Master's Degree,45 - 54,0,Y,STAFF-376
Married,9,377,28,Medical,Male,Bachelor's Degree,25 - 34,1,Y,STAFF-377
Married,6,378,37,Medical,Male,Master's Degree,35 - 44,1,Y,STAFF-378
Single,3,379,21,Medical,Male,Associates Degree,Under 25,1,Y,STAFF-379
Divorced,1,380,37,Medical,Female,Master's Degree,35 - 44,1,Y,STAFF-380
Divorced,22,381,35,Life Sciences,Female,Bachelor's Degree,35 - 44,1,Y,STAFF-381
Divorced,7,382,38,Medical,Female,Associates Degree,35 - 44,1,Y,STAFF-382
Divorced,1,384,26,Life Sciences,Female,Bachelor's Degree,25 - 34,1,Y,STAFF-384
Divorced,4,385,50,Life Sciences,Male,High School,45 - 54,1,Y,STAFF-385
Married,3,386,53,Medical,Male,Master's Degree,45 - 54,1,Y,STAFF-386
Married,1,387,42,Life Sciences,Male,High School,35 - 44,1,Y,STAFF-387
Single,2,388,29,Life Sciences,Male,Associates Degree,25 - 34,1,Y,STAFF-388
Married,20,389,55,Technical Degree,Male,Associates Degree,Over 55,1,Y,STAFF-389
Married,11,390,26,Medical,Male,Associates Degree,25 - 34,1,Y,STAFF-390
Single,1,391,37,Life Sciences,Female,Bachelor's Degree,35 - 44,1,Y,STAFF-391
Divorced,24,392,44,Life Sciences,Male,Bachelor's Degree,35 - 44,0,Y,STAFF-392
Divorced,23,393,38,Life Sciences,Male,Master's Degree,35 - 44,1,Y,STAFF-393
Divorced,16,394,26,Medical,Male,Master's Degree,25 - 34,0,Y,STAFF-394
Single,8,395,28,Life Sciences,Female,Associates Degree,25 - 34,1,Y,STAFF-395
Single,10,396,49,Life Sciences,Female,Master's Degree,45 - 54,1,Y,STAFF-396
Single,3,397,36,Technical Degree,Male,Bachelor's Degree,35 - 44,1,Y,STAFF-397
Divorced,5,399,31,Marketing,Female,Bachelor's Degree,25 - 34,1,Y,STAFF-399
Single,4,401,26,Marketing,Male,Master's Degree,25 - 34,0,Y,STAFF-401
Married,9,403,37,Medical,Male,Bachelor's Degree,35 - 44,1,Y,STAFF-403
Married,26,404,42,Marketing,Female,Bachelor's Degree,35 - 44,1,Y,STAFF-404
Single,3,405,18,Life Sciences,Male,Bachelor's Degree,Under 25,0,Y,STAFF-405
Married,16,406,35,Marketing,Male,Bachelor's Degree,35 - 44,1,Y,STAFF-406
Married,18,407,36,Life Sciences,Male,Master's Degree,35 - 44,1,Y,STAFF-407
Divorced,2,408,51,Medical,Male,Bachelor's Degree,45 - 54,1,Y,STAFF-408
Single,2,410,41,Life Sciences,Male,Master's Degree,35 - 44,1,Y,STAFF-410
Single,10,411,18,Medical,Female,Bachelor's Degree,Under 25,1,Y,STAFF-411
Single,16,412,28,Medical,Male,Associates Degree,25 - 34,1,Y,STAFF-412
Married,7,416,31,Technical Degree,Male,Bachelor's Degree,25 - 34,1,Y,STAFF-416
Divorced,1,417,39,Medical,Male,Bachelor's Degree,35 - 44,1,Y,STAFF-417
Married,24,419,36,Life Sciences,Female,Master's Degree,35 - 44,1,Y,STAFF-419
Married,7,420,32,Life Sciences,Male,Bachelor's Degree,25 - 34,1,Y,STAFF-420
Married,25,421,38,Life Sciences,Female,Associates Degree,35 - 44,1,Y,STAFF-421
Divorced,1,422,58,Life Sciences,Male,Master's Degree,Over 55,1,Y,STAFF-422
Married,5,423,31,Technical Degree,Male,Master's Degree,25 - 34,1,Y,STAFF-423
Married,2,424,31,Human Resources,Male,Bachelor's Degree,25 - 34,1,Y,STAFF-424
Divorced,7,425,45,Life Sciences,Male,Bachelor's Degree,45 - 54,1,Y,STAFF-425
Divorced,2,426,31,Life Sciences,Male,Master's Degree,25 - 34,1,Y,STAFF-426
Married,5,428,33,Life Sciences,Female,Master's Degree,25 - 34,1,Y,STAFF-428
Married,10,429,39,Medical,Male,High School,35 - 44,1,Y,STAFF-429
Single,10,430,43,Life Sciences,Female,Master's Degree,35 - 44,1,Y,STAFF-430
Single,1,431,49,Technical Degree,Female,Associates Degree,45 - 54,1,Y,STAFF-431
